X,Date,Opponent,W.L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS,year,home_away,conf_nonconf,block.success,kills.per.set,blocks.per.set,blocking.error.rate,assists.per.set,bhe.rate,digs.per.set,sre.per.set,se.per.set,sa.per.set,yearless,yearless.date
28,2019-08-30,vs Chapman,L,3,26,18,105,0.076,26,3,2,10,43,0,8,3,4,1,33,2019,away,non-conference,0.5,8.66666666666667,1.33333333333333,1,8.66666666666667,0.0384615384615385,14.3333333333333,3.33333333333333,0.666666666666667,1,30/08,2022-08-30
29,2019-08-30,La Verne,L,4,54,38,217,0.074,50,6,12,7,99,0,10,1,5,1,65,2019,away,non-conference,0.5,13.5,1.25,0.25,12.5,0.02,24.75,1.75,3,1.5,30/08,2022-08-30
30,2019-08-31,vs Cal Lutheran,L,4,34,23,119,0.092,32,8,14,12,43,0,12,1,6,0,48,2019,away,non-conference,0.5,8.5,1.5,0.25,8,0,10.75,3,3.5,2,31/08,2022-08-31
31,2019-08-31,ClaremontMuddScripps,W,4,52,14,148,0.257,50,7,3,7,84,2,16,3,10,0,69,2019,away,non-conference,0.625,13,2.5,0.75,12.5,0,21,1.75,0.75,1.75,31/08,2022-08-31
32,2019-09-03,at UW-Superior,L,3,24,9,92,0.163,21,1,2,0,41,0,6,0,3,3,28,2019,home,non-conference,0.5,8,1,0,7,0.142857142857143,13.6666666666667,0,0.666666666666667,0.333333333333333,03/09,2022-09-03
33,2019-09-06,vs Bethany Lutheran,L,3,32,17,112,0.134,29,2,5,5,45,0,8,4,4,1,38,2019,away,non-conference,0.5,10.6666666666667,1.33333333333333,1.33333333333333,9.66666666666667,0.0344827586206897,15,1.66666666666667,1.66666666666667,0.666666666666667,06/09,2022-09-06
34,2019-09-07,vs Knox,L,3,21,15,76,0.079,19,1,3,15,23,2,0,1,2,1,24,2019,away,non-conference,Inf,7,0.666666666666667,0.333333333333333,6.33333333333333,0.0526315789473684,7.66666666666667,5,1,0.333333333333333,07/09,2022-09-07
35,2019-09-07,vs UW-River Falls,L,4,39,26,148,0.088,35,4,9,9,55,3,6,3,6,3,49,2019,away,non-conference,1,9.75,1.5,0.75,8.75,0.0857142857142857,13.75,2.25,2.25,1,07/09,2022-09-07
36,2019-09-11,at Bethany Lutheran,L,3,21,18,104,0.029,17,1,8,6,40,0,8,0,4,3,26,2019,home,non-conference,0.5,7,1.33333333333333,0,5.66666666666667,0.176470588235294,13.3333333333333,2,2.66666666666667,0.333333333333333,11/09,2022-09-11
37,2019-09-13,vs UW-Stout,L,5,63,25,175,0.217,59,6,7,12,83,3,6,4,6,1,75,2019,away,non-conference,1,12.6,1.2,0.8,11.8,0.0169491525423729,16.6,2.4,1.4,1.2,13/09,2022-09-13
38,2019-09-14,vs St. Norbert,L,4,37,14,109,0.211,34,5,4,12,39,0,8,2,4,0,46,2019,away,non-conference,0.5,9.25,1,0.5,8.5,0,9.75,3,1,1.25,14/09,2022-09-14
39,2019-09-14,vs UW-Stevens Point,L,5,53,33,173,0.116,51,6,6,6,71,4,18,2,13,1,72,2019,away,non-conference,0.722222222222222,10.6,2.6,0.4,10.2,0.0196078431372549,14.2,1.2,1.2,1.2,14/09,2022-09-14
40,2019-09-18,at St. Thomas,W,4,50,29,149,0.141,48,3,5,7,65,0,14,0,7,1,60,2019,home,non-conference,0.5,12.5,1.75,0,12,0.0208333333333333,16.25,1.75,1.25,0.75,18/09,2022-09-18
41,2019-09-20,vs UW-Platteville,L,4,33,21,124,0.097,32,9,7,9,48,4,12,4,10,2,52,2019,away,non-conference,0.833333333333333,8.25,2.5,1,8,0.0625,12,2.25,1.75,2.25,20/09,2022-09-20
42,2019-09-20,vs Coe,L,5,54,23,176,0.176,53,8,14,3,68,1,6,0,4,0,66,2019,away,non-conference,0.666666666666667,10.8,0.8,0,10.6,0,13.6,0.6,2.8,1.6,20/09,2022-09-20
43,2019-09-21,vs Loras,L,5,48,30,169,0.107,46,8,7,8,59,2,10,0,7,0,63,2019,away,non-conference,0.7,9.6,1.4,0,9.2,0,11.8,1.6,1.4,1.6,21/09,2022-09-21
44,2019-09-26,vs Gust. Adolphus,W,3,40,11,114,0.254,37,5,4,1,50,2,16,0,10,1,55,2019,away,non-conference,0.625,13.3333333333333,3.33333333333333,0,12.3333333333333,0.027027027027027,16.6666666666667,0.333333333333333,1.33333333333333,1.66666666666667,26/09,2022-09-26
45,2019-09-28,vs St. Scholastica,L,3,28,16,122,0.098,25,3,2,6,64,1,4,2,3,2,34,2019,away,conference,0.75,9.33333333333333,1,0.666666666666667,8.33333333333333,0.08,21.3333333333333,2,0.666666666666667,1,28/09,2022-09-28
46,2019-09-28,Minnesota Morris,L,5,60,22,156,0.244,59,6,14,9,68,1,16,3,9,3,75,2019,away,non-conference,0.5625,12,1.8,0.6,11.8,0.0508474576271186,13.6,1.8,2.8,1.2,28/09,2022-09-28
47,2019-10-02,at Augsburg,L,5,54,30,185,0.13,49,13,14,7,87,1,10,0,6,2,73,2019,home,conference,0.6,10.8,1.2,0,9.8,0.0408163265306122,17.4,1.4,2.8,2.6,02/10,2022-10-02
48,2019-10-04,at Northwestern (Minn.),L,3,34,23,118,0.093,33,4,5,6,52,0,6,0,3,2,41,2019,home,non-conference,0.5,11.3333333333333,1,0,11,0.0606060606060606,17.3333333333333,2,1.66666666666667,1.33333333333333,04/10,2022-10-04
49,2019-10-05,St. Catherine,L,4,55,28,185,0.146,54,5,9,6,84,0,14,1,7,4,67,2019,away,conference,0.5,13.75,1.75,0.25,13.5,0.0740740740740741,21,1.5,2.25,1.25,05/10,2022-10-05
50,2019-10-11,at Concordia (Minn.),L,3,26,17,121,0.074,23,2,4,0,58,1,6,0,4,0,32,2019,home,conference,0.666666666666667,8.66666666666667,1.33333333333333,0,7.66666666666667,0,19.3333333333333,0,1.33333333333333,0.666666666666667,11/10,2022-10-11
